id,CH4_x,CH4_y,CH3O2NO2_x,CH3O2NO2_y,H2_x,H2_y,N2O5_x,N2O5_y,H2O2_x,H2O2_y,CH3OH_x,CH3OH_y,HONO_x,HONO_y,CO_x,CO_y,HO2NO2_x,HO2NO2_y,CH3O_x,CH3O_y,CH3NO3_x,CH3NO3_y,HNO3_x,HNO3_y,CH3OOH_x,CH3OOH_y,HCHO_x,HCHO_y,CH3O2_x,CH3O2_y,NO3_x,NO3_y,OH_x,OH_y,NO2_x,NO2_y,NO_x,NO_y,O3_x,O3_y,HO2_x,HO2_y,
#102,503.6306829840809,208.28686411009608,568.252660072308,221.9491770650696,556.8235307861669,439.6623755440667,205.25457752085404,283.66138700410545,521.4165824632928,359.3412751149587,428.964475589814,322.4163518416798,343.16814881704,226.3883387685662,430.15544709788213,419.60616083418404,301.1647072806424,328.28431859096895,334.9333911118985,355.6095565566593,381.5130136363415,256.68300013803383,464.1589188157466,392.2890411892155,398.2226013787066,336.91150567697315,394.8703489206147,291.1392091366799,447.9409136945176,306.3508541200111,338,449,359.64358521403415,329.36343028681046,431,240,295,267,486.0347737923113,426.42701789699174,458.7172834382667,351.2574874882089,
#103,236.13179485304258,412.308160653601,301.9460175024859,177.86039371479444,210.03753444017707,241.97582848516245,548.7039473146293,425.4618175934949,342.2132083193144,221.8111266278698,341.35185309415175,337.610334930944,371.73912683581676,283.39414671589145,436.59127027835575,303.3415700946486,352.49423611829343,123.13442650880688,416.85226470283203,338.63390675581167,373.24943790899397,303.0296284562616,286.0569255067063,300.6948183413189,368.4837315253079,350.55501700456017,349.4357456751875,383.1979666408079,319.8582895301249,328.1301870182819,338,449,400.92224186634814,365.7946431165816,431,240,295,267,254.56028852586948,326.21227520472763,336.5941210564143,285.64541315678986,
#104,571.0194854898365,310.042154825823,485.9127172885695,414.6124872330115,229.45018475880806,208.55252515800373,547.8468730197567,433.54391035315854,323.4512468232675,212.18852834176658,404.3229278872358,305.9642357541778,357.64958740155515,296.3058891343908,288.39149861796,346.5984262602396,354.09531912251856,116.78052128369335,333.2383549342993,361.70310265285576,398.46563011245456,280.083505715556,294.2204889620661,309.7122679432228,393.1493953085258,325.86493450423325,427.6066788330679,338.779363914758,459.3913924366705,315.1608236107486,338,449,387.68288235516303,363.5089682106569,431,240,295,267,252.6401468989409,309.8390310504951,344.66237970299466,273.2544263140377,
#105,293.6335333560442,166.76306235724965,401.78910525293384,117.16335439223863,196.66490184966256,228.91275581687583,194.9013516964423,307.56871120517434,256.13664939253965,265.21204395371007,358.5864697614635,293.57241416668575,374.31352177148284,285.0015137058314,285.57245417698005,357.8472845770421,339.6062742492782,125.72836204724148,311.92358162596327,369.316924811489,387.50684104045564,252.00508094443026,488.03964229957774,396.72671891892236,368.7924587053498,326.77182414075105,406.08198799168235,303.83904135253005,348.29531759678906,266.02790110635306,338,449,396.2606542992547,352.12853887040814,431,240,295,267,252.2510336533673,335.5326056851991,318.93680749714787,282.0943326709857,
#106,287.00459084234245,436.3157732195604,517.6721908102668,348.4726186654823,434.12707695602234,493.6073844518622,549.6989182662704,430.012503394169,433.4128164817728,421.34896413201994,380.57091328203666,334.1627245793948,341.9875001456806,190.56140882562082,457.90522225600284,329.41445384498513,558.9749572227346,305.04788383301343,275.2718605348343,368.4184332277384,376.91394502304445,270.73965260735747,256.8851880073448,330.47772703701463,391.395175537513,300.95755409323533,345.83791300238096,302.79251499159585,369.0736497965298,350.9287921595933,338,449,359.8077799490031,270.82274266584244,431,240,295,267,270.8045708241219,305.08552096535067,408.7707933756265,364.14696131349444,
#107,584.8218709442922,299.1839107417604,556.2450562335617,186.40658671052915,503.93001250793304,491.79126474379024,204.6623187372093,280.3012976834659,510.91536020302783,409.1806204313563,451.4760031377574,329.6476053255111,348.77761012692656,227.60162880353883,438.46106648324906,428.9757912209127,316.65707772925157,364.4005861679918,353.0459214664332,348.7989083094446,391.7900908355057,267.0773770674048,281.3185638443925,316.0078153500425,420.71476039186393,332.8637290904272,424.75148208342245,290.5414642176442,473.63557438097524,306.85300949865785,338,449,382.0412443740552,325.94584860278417,431,240,295,267,302.4752483903997,302.3011537091987,462.6557635845336,368.76776460715877,
#108,373.72335295216766,163.11275363980502,448.61182112849525,374.2592905837231,170.53510413804622,339.4662776648687,549.5214941386312,427.2079373824333,232.5023988636426,303.8960888985869,339.0724090058814,303.25830523074416,366.4712190670257,275.32872764749203,267.147265078101,369.92475019648975,310.06676939160667,145.71084112699936,291.09865012249793,377.13418832721584,380.55075402177584,250.6974077832243,484.4138119771083,390.81816636497956,351.94210346309023,334.57529951935254,386.8847395644282,305.66473243949105,336.60769925094513,273.10049069852863,338,449,387.9566194972618,347.89798625319764,431,240,295,267,287.83709703739873,226.00588924166337,298.0305070134049,302.03216646498606,
#109,378.4331294491371,382.58305895301095,512.205526306125,328.93733184457705,230.56752956761815,181.39851573384897,197.63656520099528,289.9822071345968,298.4048853022294,212.229515463476,372.6122440183037,277.715749427805,352.99706458305815,307.50374369563684,294.92993463260945,350.88964887311073,455.0236256396178,383.7135269645592,321.79862755248763,364.1795933275878,385.2004678479272,236.66745293021532,290.9822262473865,315.52002208826826,385.43659402971514,311.7842347506624,414.30525276889625,288.2339989872281,354.32906289221006,262.2440924428909,338,449,405.90955027412355,345.359727552204,431,240,295,267,254.75715164190456,327.75273732225764,326.0272995167477,273.44839765462496,
#110,412.58959939163145,473.4276561304361,561.2863007523619,282.624302001497,579.2348225865605,364.53224015890186,546.3020539464655,441.7787055971608,501.8564316125549,299.34567482262963,412.6162015442481,348.7079129696252,344.4696781084559,228.40178395462385,451.04495615604634,418.7653166995023,566.5365597175111,215.7275334676908,308.75423851916787,348.3442076920926,381.81759219211824,292.82914758540255,263.9807746531139,303.05506016676617,390.65131496940313,322.98399422932863,374.821401866668,362.34734937904005,431.08664410612766,356.4398525123066,338,449,353.6794089329019,330.76966723920265,431,240,295,267,489.78173458421384,410.0634786205943,454.007975739137,334.15359729950507,
#111,290.20636431348674,153.97908789227827,496.85049917181175,333.2546749433364,209.72830840662775,411.2750505214384,201.89249754361748,285.72660460490465,261.3684598316814,365.58231957528534,347.08304348619777,295.13277557440097,354.79039281063694,222.31311482930917,403.1859836535525,394.44452056529184,448.8210059956404,397.8027865577855,375.0980104199344,364.1250600428869,378.34538582241254,232.50577033959448,481.68225714493735,388.0062566120296,369.7369116162664,309.6802512523087,394.27117195856744,272.19461445085494,338.00776246135695,260.05921063566717,338,449,404.5364306525383,319.9120343891365,431,240,295,267,273.2624222841391,245.65698509415276,311.5933142536842,326.58946441536307,
#112,258.36854375588115,190.48494090653676,503.99767054964144,334.71668649503226,275.442238414718,462.4684851108935,199.8859031488899,291.3577253339799,356.53319760485374,415.88074451000534,368.5981084728206,312.8842483443504,354.7456541812862,296.20082982416636,439.61827700549765,407.97129691784227,299.06705830545644,196.02862909400048,271.1698010466335,350.89554636921235,375.55961883052584,234.67592025668336,480.933758316506,397.93200491324717,394.2233695559527,316.4356964723351,396.93840496414276,279.235920635362,344.37797204442677,273.0637288677659,338,449,425.36395299221357,322.7540122196375,431,240,295,267,276.76169512640195,287.3556679477342,353.1150086409628,354.19423205925074,
